iter	Passed	Remaining
0	0	80
1	1	72
2	2	67
3	2	62
4	3	61
5	3	60
6	4	60
7	5	59
8	5	58
9	6	58
10	7	58
11	7	57
12	8	56
13	9	55
14	9	55
15	10	54
16	11	53
17	11	53
18	12	52
19	12	51
20	13	51
21	14	50
22	14	49
23	15	49
24	16	48
25	16	48
26	17	47
27	18	47
28	19	46
29	19	46
30	20	45
31	21	45
32	21	44
33	22	43
34	23	43
35	23	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	34	31
53	35	30
54	36	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	19
71	47	18
72	48	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	52	13
79	52	13
80	53	12
81	54	11
82	54	11
83	55	10
84	56	9
85	56	9
86	57	8
87	58	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	62	3
94	62	3
95	63	2
96	63	1
97	64	1
98	65	0
99	65	0
