iter	RMSE
0	14.7724476
1	14.39234367
2	13.9945142
3	13.62780884
4	13.28496044
5	12.99784764
6	12.69284246
7	12.41000591
8	12.11807161
9	11.82603266
10	11.54690194
11	11.28803142
12	11.0391469
13	10.80279966
14	10.57295048
15	10.33548824
16	10.11820818
17	9.899317371
18	9.695131996
19	9.5085161
20	9.343676237
21	9.172902435
22	9.003564337
23	8.84078085
24	8.68758685
25	8.537569042
26	8.394790024
27	8.265466795
28	8.13854939
29	8.01609354
30	7.918335906
31	7.795910492
32	7.693041336
33	7.593189589
34	7.48868686
35	7.390809307
36	7.298859904
37	7.217919788
38	7.135745974
39	7.055552179
40	6.984119842
41	6.917302039
42	6.84969198
43	6.789665563
44	6.737413951
45	6.683975344
46	6.622635921
47	6.564310721
48	6.504746365
49	6.452684346
50	6.402409781
51	6.353317599
52	6.308513841
53	6.26137195
54	6.213800972
55	6.173561911
56	6.132246299
57	6.098040507
58	6.065876403
59	6.034868988
60	6.003172871
61	5.969131284
62	5.940717241
63	5.908851273
64	5.884365274
65	5.856357203
66	5.827109356
67	5.799785196
68	5.776425718
69	5.751250746
70	5.728387667
71	5.707288233
72	5.685599288
73	5.662696869
74	5.642896565
75	5.626499451
76	5.608694782
77	5.593057251
78	5.579713123
79	5.562117487
80	5.543559273
81	5.532460906
82	5.515523735
83	5.50113546
84	5.480374894
85	5.464706677
86	5.453775281
87	5.437082657
88	5.420824511
89	5.408675577
90	5.398690054
91	5.388894488
92	5.379288999
93	5.36908798
94	5.364235422
95	5.351340559
96	5.344593467
97	5.332795818
98	5.327323002
99	5.315989816
100	5.306659335
101	5.302246957
102	5.29039237
103	5.282745502
104	5.272267342
105	5.261620303
106	5.251258979
107	5.244451564
108	5.237420761
109	5.228636087
110	5.221441244
111	5.213735504
112	5.204392562
113	5.195574672
114	5.187998395
115	5.179723686
116	5.170603416
117	5.161777202
118	5.156876151
119	5.150746282
120	5.142490216
121	5.137555196
122	5.132259925
123	5.125713917
124	5.120547884
125	5.115979271
126	5.106111692
127	5.099610218
128	5.095939158
129	5.087846554
130	5.081805711
131	5.074196588
132	5.065862915
133	5.058911738
134	5.050467119
135	5.045410152
136	5.039011422
137	5.032522239
138	5.025802324
139	5.019775267
140	5.015501953
141	5.008100997
142	5.003074854
143	5.001296574
144	4.997156576
145	4.991422837
146	4.987777378
147	4.985085171
148	4.97818786
149	4.973295578
150	4.968070404
151	4.963983684
152	4.957206584
153	4.952825088
154	4.948190227
155	4.945093829
156	4.939069795
157	4.936870048
158	4.93289639
159	4.930968828
160	4.924332073
161	4.917788782
162	4.913748754
163	4.90704835
164	4.901834747
165	4.898794078
166	4.895124237
167	4.892191237
168	4.888346879
169	4.883037425
170	4.876032381
171	4.873809122
172	4.870345486
173	4.865258573
174	4.860460711
175	4.855750204
176	4.854145018
177	4.849661353
178	4.846290825
179	4.841897012
180	4.835362712
181	4.829659463
182	4.826550239
183	4.822925987
184	4.818584256
185	4.815166099
186	4.811923332
187	4.805683308
188	4.803374198
189	4.798548427
190	4.7962396
191	4.79295019
192	4.789021956
193	4.781467197
194	4.778513182
195	4.775976379
196	4.77331174
197	4.771072305
198	4.765151534
199	4.762762888
200	4.75983917
201	4.754614669
202	4.752165441
203	4.74725537
204	4.745361247
205	4.740624404
206	4.738230279
207	4.736766188
208	4.73293545
209	4.728592579
210	4.722424108
211	4.718451057
212	4.714883433
213	4.712452024
214	4.707427755
215	4.705081166
216	4.701130205
217	4.696491133
218	4.692837682
219	4.689146042
220	4.688120468
221	4.685419086
222	4.684286915
223	4.680736283
224	4.679382937
225	4.673877943
226	4.67172413
227	4.669288674
228	4.666879828
229	4.662773195
230	4.661444928
231	4.659010127
232	4.651686433
233	4.649124111
234	4.647487928
235	4.644700081
236	4.642154534
237	4.639792401
238	4.636805015
239	4.634154437
240	4.631957782
241	4.629689542
242	4.625201389
243	4.618139723
244	4.613993536
245	4.613647537
246	4.612635226
247	4.607773753
248	4.601357798
249	4.594771478
250	4.593035225
251	4.58958029
252	4.586290945
253	4.583279965
254	4.577875053
255	4.574844078
256	4.574516571
257	4.573024433
258	4.566764283
259	4.564501724
260	4.562266701
261	4.559734869
262	4.554816471
263	4.552693291
264	4.549551821
265	4.544235543
266	4.53916858
267	4.538295727
268	4.535719576
269	4.531352257
270	4.527376632
271	4.526241101
272	4.519996552
273	4.516204744
274	4.512747809
275	4.509750308
276	4.503546337
277	4.501667671
278	4.498950492
279	4.495130861
280	4.486982365
281	4.482137716
282	4.481892159
283	4.47842346
284	4.473637643
285	4.467767036
286	4.462832497
287	4.459618042
288	4.457106065
289	4.453423787
