iter	Passed	Remaining
0	75	75473
1	76	38132
2	77	25698
3	78	19435
4	78	15676
5	79	13171
6	80	11374
7	80	10033
8	81	8998
9	82	8166
10	83	7479
11	83	6909
12	84	6424
13	85	6015
14	86	5700
15	87	5401
16	88	5117
17	89	4870
18	90	4647
19	90	4442
20	91	4259
21	92	4092
22	92	3940
23	93	3804
24	94	3677
25	95	3559
26	95	3450
27	96	3347
28	97	3253
29	97	3164
30	98	3082
31	99	3007
32	100	2934
33	100	2864
34	101	2798
35	102	2736
36	102	2676
37	103	2623
38	104	2574
39	105	2529
40	106	2487
41	107	2443
42	107	2400
43	108	2360
44	109	2320
45	110	2283
46	111	2250
47	111	2217
48	112	2183
49	113	2150
50	113	2118
51	114	2087
52	115	2061
53	116	2033
54	117	2011
55	117	1988
56	118	1963
57	119	1938
58	120	1914
59	120	1891
60	121	1868
61	122	1847
62	122	1826
63	123	1808
64	124	1788
65	125	1771
66	125	1754
67	126	1736
68	127	1719
69	128	1702
70	128	1686
71	129	1672
72	130	1657
73	131	1641
74	131	1625
75	132	1611
76	133	1597
77	134	1584
78	134	1572
79	135	1560
80	136	1548
81	136	1533
82	137	1521
83	138	1510
84	139	1499
85	140	1489
86	140	1478
87	141	1469
88	142	1458
89	143	1447
90	143	1435
91	144	1425
92	145	1414
93	145	1404
94	146	1393
95	147	1388
96	148	1378
97	149	1372
98	149	1363
99	150	1354
100	151	1345
101	151	1333
102	152	1324
103	152	1318
104	153	1310
105	154	1302
106	155	1294
107	155	1287
108	156	1279
109	157	1272
110	157	1264
111	158	1257
112	159	1250
113	160	1243
114	161	1240
115	162	1235
116	163	1231
117	164	1226
118	164	1221
119	165	1216
120	166	1210
121	167	1207
122	168	1201
123	169	1195
124	169	1189
125	170	1183
126	171	1177
127	171	1171
128	172	1166
129	173	1161
130	174	1156
131	175	1150
132	176	1147
133	176	1142
134	177	1137
135	178	1132
136	178	1126
137	179	1122
138	180	1117
139	181	1112
140	181	1108
141	182	1104
142	183	1099
143	183	1093
144	184	1088
145	185	1084
146	186	1080
147	186	1076
148	187	1071
149	188	1066
150	189	1065
151	190	1063
152	191	1060
153	192	1057
154	193	1053
155	194	1049
156	194	1045
157	195	1041
158	196	1037
159	197	1035
160	198	1032
161	199	1029
162	199	1025
163	200	1021
164	201	1017
165	201	1013
166	202	1009
167	202	1005
168	203	1001
169	204	998
170	205	996
171	206	992
172	206	989
173	207	985
174	208	983
175	209	980
176	210	976
177	210	973
178	211	970
179	212	967
180	212	963
181	213	960
182	214	957
183	215	953
184	215	950
185	216	947
186	217	943
187	217	940
188	218	937
189	219	933
190	219	930
191	220	928
192	221	925
193	222	922
194	222	919
195	223	916
196	224	913
197	224	910
198	225	907
199	226	904
200	226	901
201	227	898
202	228	896
203	228	893
204	229	890
205	230	887
206	230	884
207	231	881
208	232	878
209	232	875
210	233	873
211	234	870
212	235	869
213	236	867
214	236	864
215	237	862
216	238	859
217	238	856
218	239	853
219	240	851
220	240	848
221	241	846
222	242	844
223	242	841
224	243	839
225	244	836
226	244	834
227	245	831
228	246	829
229	246	826
230	247	824
231	248	822
232	249	820
233	250	818
234	250	816
235	251	814
236	252	812
237	253	810
238	253	808
239	254	806
240	255	803
241	255	801
242	256	799
243	257	796
244	257	794
245	258	791
246	258	789
247	259	787
248	260	785
249	260	782
250	261	780
251	262	778
252	262	776
253	263	774
254	264	772
255	265	770
256	266	771
257	267	769
258	268	767
259	268	765
260	269	763
261	270	761
262	270	759
263	271	757
264	272	755
265	273	753
266	273	751
267	274	749
268	275	747
269	275	745
270	276	743
271	277	741
272	277	739
273	278	737
274	279	735
275	279	734
276	280	732
277	281	730
278	282	728
279	282	726
280	283	725
281	284	723
282	284	721
283	285	720
284	286	718
285	287	716
286	287	715
287	288	713
288	289	712
289	290	710
290	290	708
291	291	706
292	292	705
293	292	703
294	293	702
295	294	700
296	295	699
297	295	697
298	296	695
299	297	694
300	298	692
301	298	690
302	299	688
303	300	686
304	300	685
305	301	683
306	301	681
307	302	680
308	303	678
309	303	676
310	304	674
311	305	673
312	305	671
313	306	669
314	307	668
315	307	666
316	308	664
317	309	663
318	310	662
319	310	660
320	311	659
321	312	657
322	313	656
323	313	654
324	314	653
325	315	651
326	315	649
327	316	648
328	317	646
329	317	645
330	318	643
331	319	641
332	319	640
333	320	638
334	320	637
335	321	635
336	322	634
337	323	632
338	323	631
339	324	630
340	325	628
341	326	627
342	326	625
343	327	624
344	328	622
345	328	621
346	329	619
347	330	618
348	330	616
349	331	615
350	332	613
351	332	612
352	333	610
353	333	609
354	334	607
355	335	606
356	335	605
357	336	603
358	337	602
359	338	600
360	339	600
361	339	598
362	340	597
363	341	595
364	341	594
365	342	592
366	342	591
367	343	590
368	344	588
369	344	587
370	345	585
371	346	584
372	346	583
373	347	581
374	348	580
375	348	578
376	349	577
377	350	576
378	350	574
379	351	573
380	352	572
381	352	570
382	353	569
383	354	568
384	355	567
385	356	566
386	356	565
387	357	563
388	358	562
389	359	561
390	359	560
391	360	559
392	361	557
393	361	556
394	362	555
395	363	554
396	364	552
397	364	551
398	365	550
399	366	549
400	367	548
401	368	547
402	369	546
403	369	545
404	370	544
405	371	543
406	371	541
407	372	540
408	373	539
409	373	537
410	374	536
411	375	535
412	375	534
413	376	532
414	377	531
415	377	530
416	378	529
417	379	528
418	380	527
419	380	525
420	381	524
421	382	523
422	382	522
423	383	521
424	384	520
425	385	519
426	385	517
427	386	516
428	387	515
429	388	514
430	388	513
431	389	512
432	390	510
433	390	509
434	391	508
435	392	507
436	392	506
437	393	504
438	394	503
439	394	502
440	395	501
441	396	500
442	396	498
443	397	497
444	398	496
445	399	495
446	399	494
447	400	493
448	401	492
449	401	491
450	402	490
451	403	488
452	404	487
453	404	486
454	405	485
455	405	484
456	406	483
457	407	481
458	407	480
459	408	479
460	409	478
461	409	477
462	410	476
463	411	475
464	411	473
465	412	472
466	413	471
467	414	470
468	414	469
469	415	468
470	416	467
471	416	466
472	417	465
473	418	463
474	418	462
475	419	461
476	420	460
477	420	459
478	421	458
479	422	457
480	422	456
481	423	455
482	424	453
483	424	452
484	425	451
485	426	450
486	426	449
487	427	448
488	428	447
489	429	447
490	430	446
491	431	445
492	432	444
493	432	443
494	433	442
495	434	441
496	434	440
497	435	439
498	436	438
499	437	437
500	437	436
501	438	435
502	439	434
503	439	433
504	440	431
505	441	430
506	442	429
507	443	429
508	444	428
509	445	427
510	446	427
511	447	426
512	448	425
513	449	424
514	449	423
515	450	422
516	451	421
517	451	420
518	452	419
519	453	418
520	454	417
521	454	416
522	455	415
523	456	414
524	457	413
525	457	412
526	458	411
527	459	410
528	460	409
529	461	409
530	462	408
531	462	407
532	463	406
533	464	405
534	465	404
535	465	403
536	466	402
537	467	401
538	467	400
539	468	399
540	469	398
541	469	397
542	470	396
543	471	395
544	471	394
545	472	393
546	473	392
547	474	391
548	475	390
549	476	390
550	477	389
551	478	388
552	479	387
553	480	386
554	481	386
555	482	385
556	483	384
557	483	383
558	484	382
559	486	382
560	488	381
561	489	381
562	489	380
563	490	379
564	491	378
565	492	377
566	493	376
567	494	375
568	495	375
569	496	374
570	496	373
571	497	372
572	498	371
573	499	370
574	500	370
575	501	369
576	502	368
577	503	367
578	504	366
579	505	366
580	506	365
581	507	364
582	508	363
583	509	362
584	510	361
585	511	361
586	512	360
587	512	359
588	513	358
589	514	357
590	515	356
591	516	355
592	517	355
593	518	354
594	520	354
595	521	353
596	522	352
597	523	351
598	524	350
599	525	350
600	526	349
601	526	348
602	527	347
603	528	346
604	528	345
605	529	344
606	530	343
607	531	342
608	532	341
609	533	340
610	533	339
611	534	338
612	535	338
613	536	337
614	537	336
615	537	335
616	538	334
617	539	333
618	540	332
619	541	331
620	541	330
621	542	329
622	543	329
623	544	328
624	545	327
625	546	326
626	547	325
627	547	324
628	548	323
629	549	322
630	549	321
631	550	320
632	551	319
633	552	318
634	552	317
635	553	316
636	553	315
637	554	314
638	555	313
639	556	312
640	556	311
641	557	310
642	557	309
643	558	308
644	559	307
645	559	306
646	560	305
647	561	305
648	562	304
649	563	303
650	563	302
651	564	301
652	565	300
653	565	299
654	566	298
655	567	297
656	567	296
657	568	295
658	569	294
659	570	293
660	570	292
661	571	291
662	572	290
663	572	289
664	573	288
665	574	287
666	574	286
667	575	286
668	576	285
669	577	284
670	577	283
671	578	282
672	579	281
673	579	280
674	580	279
675	581	278
676	581	277
677	582	276
678	583	275
679	583	274
680	584	273
681	585	272
682	585	271
683	586	271
684	587	270
685	587	269
686	588	268
687	589	267
688	590	266
689	591	265
690	591	264
691	592	263
692	593	262
693	593	261
694	594	260
695	595	259
696	595	259
697	596	258
698	597	257
699	597	256
700	598	255
701	599	254
702	599	253
703	600	252
704	601	251
705	601	250
706	602	249
707	603	248
708	603	247
709	604	246
710	605	246
711	606	245
712	607	244
713	607	243
714	608	242
715	609	241
716	609	240
717	610	239
718	611	238
719	611	237
720	612	237
721	613	236
722	613	235
723	614	234
724	615	233
725	615	232
726	616	231
727	617	230
728	617	229
729	618	228
730	619	227
731	620	227
732	621	226
733	621	225
734	622	224
735	623	223
736	623	222
737	624	221
738	625	220
739	626	219
740	626	219
741	627	218
742	628	217
743	628	216
744	629	215
745	630	214
746	630	213
747	631	212
748	632	211
749	632	210
750	633	210
751	634	209
752	635	208
753	636	207
754	636	206
755	637	205
756	638	205
757	639	204
758	640	203
759	641	202
760	642	201
761	642	200
762	643	199
763	644	199
764	645	198
765	645	197
766	646	196
767	647	195
768	647	194
769	648	193
770	649	192
771	650	192
772	651	191
773	651	190
774	652	189
775	653	188
776	654	187
777	654	186
778	655	185
779	656	185
780	656	184
781	657	183
782	658	182
783	658	181
784	659	180
785	660	179
786	660	178
787	661	177
788	662	177
789	662	176
790	663	175
791	664	174
792	664	173
793	665	172
794	666	171
795	667	170
796	667	170
797	668	169
798	669	168
799	669	167
800	670	166
801	671	165
802	671	164
803	672	163
804	673	163
805	673	162
806	674	161
807	675	160
808	675	159
809	676	158
810	677	157
811	677	156
812	678	156
813	679	155
814	680	154
815	680	153
816	681	152
817	682	151
818	683	150
819	683	150
820	684	149
821	685	148
822	686	147
823	686	146
824	687	145
825	688	144
826	689	144
827	689	143
828	690	142
829	691	141
830	691	140
831	692	139
832	693	138
833	693	138
834	694	137
835	695	136
836	696	135
837	696	134
838	697	133
839	698	133
840	698	132
841	699	131
842	700	130
843	700	129
844	701	128
845	702	127
846	702	126
847	703	126
848	704	125
849	704	124
850	705	123
851	706	122
852	706	121
853	707	120
854	708	120
855	708	119
856	709	118
857	710	117
858	711	116
859	711	115
860	712	115
861	713	114
862	713	113
863	714	112
864	715	111
865	715	110
866	716	109
867	717	109
868	717	108
869	718	107
870	719	106
871	719	105
872	720	104
873	721	103
874	721	103
875	722	102
876	723	101
877	723	100
878	725	99
879	725	98
880	726	98
881	727	97
882	728	96
883	729	95
884	729	94
885	730	94
886	731	93
887	732	92
888	732	91
889	733	90
890	734	89
891	734	88
892	735	88
893	736	87
894	736	86
895	737	85
896	738	84
897	739	83
898	739	83
899	740	82
900	741	81
901	741	80
902	742	79
903	743	78
904	744	78
905	744	77
906	745	76
907	746	75
908	746	74
909	747	73
910	748	73
911	748	72
912	749	71
913	750	70
914	750	69
915	751	68
916	752	68
917	753	67
918	754	66
919	754	65
920	755	64
921	756	63
922	757	63
923	758	62
924	758	61
925	759	60
926	760	59
927	761	59
928	762	58
929	762	57
930	763	56
931	764	55
932	765	54
933	766	54
934	767	53
935	767	52
936	769	51
937	770	50
938	771	50
939	771	49
940	772	48
941	773	47
942	774	46
943	775	45
944	776	45
945	776	44
946	777	43
947	778	42
948	779	41
949	779	41
950	780	40
951	781	39
952	782	38
953	782	37
954	784	36
955	784	36
956	785	35
